Unnamed: 0,Unnamed: 0.1,title,description,published date,url,publisher,company,Unnamed: 0.1.1
0,0,Dr. Aimee Kaempf Appointed to Board of AAPL Journal - University of Arizona,Dr. Aimee Kaempf Appointed to Board of AAPL Journal  University of Arizona,"Mon, 06 Mar 2023 08:00:00 GMT",https://news.google.com/rss/articles/CBMiXmh0dHBzOi8vaGVhbHRoc2NpZW5jZXMuYXJpem9uYS5lZHUvY29ubmVjdC9ob25vcnMvZHItYWltZWUta2FlbXBmLWFwcG9pbnRlZC1ib2FyZC1hYXBsLWpvdXJuYWzSAQA?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://healthsciences.arizona.edu', 'title': 'University of Arizona'}",AAPL,
1,1,Apple (AAPL) Q1 2023 Earnings Call Transcript - The Motley Fool,Apple (AAPL) Q1 2023 Earnings Call Transcript  The Motley Fool,"Thu, 02 Feb 2023 08:00:00 GMT",https://news.google.com/rss/articles/CBMiZmh0dHBzOi8vd3d3LmZvb2wuY29tL2Vhcm5pbmdzL2NhbGwtdHJhbnNjcmlwdHMvMjAyMy8wMi8wMi9hcHBsZS1hYXBsLXExLTIwMjMtZWFybmluZ3MtY2FsbC10cmFuc2NyaXB0L9IBAA?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://www.fool.com', 'title': 'The Motley Fool'}",AAPL,
2,2,Apple Vs. Warren Buffett's Berkshire: When To Buy Each Stock And Why - TheStreet,Apple Vs. Warren Buffett's Berkshire: When To Buy Each Stock And Why  TheStreet,"Thu, 23 Mar 2023 07:00:00 GMT",https://news.google.com/rss/articles/CBMiZ2h0dHBzOi8vd3d3LnRoZXN0cmVldC5jb20vYXBwbGUvc3RvY2svYXBwbGUtdnMtd2FycmVuLWJ1ZmZldHRzLWJlcmtzaGlyZS13aGVuLXRvLWJ1eS1lYWNoLXN0b2NrLWFuZC13aHnSAQA?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://www.thestreet.com', 'title': 'TheStreet'}",AAPL,
3,3,"Stocks making the biggest moves after hours: Apple, Amazon, Ford and more - CNBC","Stocks making the biggest moves after hours: Apple, Amazon, Ford and more  CNBC","Thu, 02 Feb 2023 08:00:00 GMT",https://news.google.com/rss/articles/CBMiVGh0dHBzOi8vd3d3LmNuYmMuY29tLzIwMjMvMDIvMDIvc3RvY2tzLW1ha2luZy1iaWctbW92ZXMtYWZ0ZXItaG91cnMtYWFwbC1hbXpuLWYuaHRtbNIBWGh0dHBzOi8vd3d3LmNuYmMuY29tL2FtcC8yMDIzLzAyLzAyL3N0b2Nrcy1tYWtpbmctYmlnLW1vdmVzLWFmdGVyLWhvdXJzLWFhcGwtYW16bi1mLmh0bWw?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://www.cnbc.com', 'title': 'CNBC'}",AAPL,
4,4,Why Is Apple (AAPL) Stock Down? – Forbes Advisor - Forbes,Why Is Apple (AAPL) Stock Down? – Forbes Advisor  Forbes,"Thu, 16 Feb 2023 08:00:00 GMT",https://news.google.com/rss/articles/CBMiQWh0dHBzOi8vd3d3LmZvcmJlcy5jb20vYWR2aXNvci9pbnZlc3Rpbmcvd2h5LWlzLWFwcGxlLXN0b2NrLWRvd24v0gEA?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://www.forbes.com', 'title': 'Forbes'}",AAPL,
5,5,Apple (AAPL) Q1 2023 Earnings: What to Expect - Nasdaq,Apple (AAPL) Q1 2023 Earnings: What to Expect  Nasdaq,"Thu, 02 Feb 2023 08:00:00 GMT",https://news.google.com/rss/articles/CBMiSmh0dHBzOi8vd3d3Lm5hc2RhcS5jb20vYXJ0aWNsZXMvYXBwbGUtYWFwbC1xMS0yMDIzLWVhcm5pbmdzLXdoYXQtdG8tZXhwZWN00gEA?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://www.nasdaq.com', 'title': 'Nasdaq'}",AAPL,
6,6,Apple Inc.'s (NASDAQ:AAPL) Intrinsic Value Is Potentially 24% Below Its Share Price - Yahoo Finance,Apple Inc.'s (NASDAQ:AAPL) Intrinsic Value Is Potentially 24% Below Its Share Price  Yahoo Finance,"Wed, 29 Mar 2023 07:00:00 GMT",https://news.google.com/rss/articles/CBMiTWh0dHBzOi8vZmluYW5jZS55YWhvby5jb20vbmV3cy9hcHBsZS1pbmMtbmFzZGFxLWFhcGwtaW50cmluc2ljLTExMDEyMzQ5NS5odG1s0gEA?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://finance.yahoo.com', 'title': 'Yahoo Finance'}",AAPL,
7,7,Apple (AAPL) Exploratory Design Group (XDG) & No-Prick Glucose Tracker - Bloomberg,Apple (AAPL) Exploratory Design Group (XDG) & No-Prick Glucose Tracker  Bloomberg,"Sun, 26 Feb 2023 08:00:00 GMT",https://news.google.com/rss/articles/CBMidmh0dHBzOi8vd3d3LmJsb29tYmVyZy5jb20vbmV3cy9uZXdzbGV0dGVycy8yMDIzLTAyLTI2L2FwcGxlLWFhcGwtZXhwbG9yYXRvcnktZGVzaWduLWdyb3VwLXhkZy1uby1wcmljay1nbHVjb3NlLXRyYWNrZXLSAQA?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://www.bloomberg.com', 'title': 'Bloomberg'}",AAPL,
8,8,Apple’s stock splits: When will AAPL shares split again? - MacDailyNews,Apple’s stock splits: When will AAPL shares split again?  MacDailyNews,"Tue, 21 Mar 2023 07:00:00 GMT",https://news.google.com/rss/articles/CBMiWmh0dHBzOi8vbWFjZGFpbHluZXdzLmNvbS8yMDIzLzAzLzIxL2FwcGxlcy1zdG9jay1zcGxpdHMtd2hlbi13aWxsLWFhcGwtc2hhcmVzLXNwbGl0LWFnYWluL9IBXmh0dHBzOi8vbWFjZGFpbHluZXdzLmNvbS8yMDIzLzAzLzIxL2FwcGxlcy1zdG9jay1zcGxpdHMtd2hlbi13aWxsLWFhcGwtc2hhcmVzLXNwbGl0LWFnYWluL2FtcC8?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://macdailynews.com', 'title': 'MacDailyNews'}",AAPL,
9,9,Warren Buffett's Berkshire Hathaway just bought even more AAPL - 9to5Mac,Warren Buffett's Berkshire Hathaway just bought even more AAPL  9to5Mac,"Tue, 14 Feb 2023 08:00:00 GMT",https://news.google.com/rss/articles/CBMiRGh0dHBzOi8vOXRvNW1hYy5jb20vMjAyMy8wMi8xNC93YXJyZW4tYnVmZmV0dHMtYmVya3NoaXJlLWFhcGwtc3RvY2sv0gEA?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://9to5mac.com', 'title': '9to5Mac'}",AAPL,
