Unnamed: 0,Unnamed: 0.1,title,description,published date,url,publisher,company
0,0,Our Commitment to Human Rights - Meta,Our Commitment to Human Rights  Meta,"Tue, 16 Mar 2021 07:00:00 GMT",https://news.google.com/rss/articles/CBMiQWh0dHBzOi8vYWJvdXQuZmIuY29tL25ld3MvMjAyMS8wMy9vdXItY29tbWl0bWVudC10by1odW1hbi1yaWdodHMv0gFFaHR0cHM6Ly9hYm91dC5mYi5jb20vbmV3cy8yMDIxLzAzL291ci1jb21taXRtZW50LXRvLWh1bWFuLXJpZ2h0cy9hbXAv?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://about.fb.com', 'title': 'Meta'}",META
1,1,Yale Law Journal - Equity as Meta-Law - Yale Law Journal,Yale Law Journal - Equity as Meta-Law  Yale Law Journal,"Fri, 05 Mar 2021 08:00:00 GMT",https://news.google.com/rss/articles/CBMiOWh0dHBzOi8vd3d3LnlhbGVsYXdqb3VybmFsLm9yZy9hcnRpY2xlL2VxdWl0eS1hcy1tZXRhLWxhd9IBAA?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://www.yalelawjournal.org', 'title': 'Yale Law Journal'}",META
2,2,Research Highlights | NYU Stern Center for Sustainable Business - NYU Stern,Research Highlights | NYU Stern Center for Sustainable Business  NYU Stern,"Wed, 10 Feb 2021 08:00:00 GMT",https://news.google.com/rss/articles/CBMingFodHRwczovL3d3dy5zdGVybi5ueXUuZWR1L2V4cGVyaWVuY2Utc3Rlcm4vZmFjdWx0eS1yZXNlYXJjaC9uZXctbWV0YS1hbmFseXNpcy1ueXUtc3Rlcm4tY2VudGVyLXN1c3RhaW5hYmxlLWJ1c2luZXNzLWFuZC1yb2NrZWZlbGxlci1hc3NldC1tYW5hZ2VtZW50LWZpbmRzLWVzZ9IBAA?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://www.stern.nyu.edu', 'title': 'NYU Stern'}",META
3,3,Meta-analysis of neural systems underlying placebo analgesia from individual participant fMRI data - Nature.com,Meta-analysis of neural systems underlying placebo analgesia from individual participant fMRI data  Nature.com,"Tue, 02 Mar 2021 08:00:00 GMT",https://news.google.com/rss/articles/CBMiMmh0dHBzOi8vd3d3Lm5hdHVyZS5jb20vYXJ0aWNsZXMvczQxNDY3LTAyMS0yMTE3OS0z0gEA?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://www.nature.com', 'title': 'Nature.com'}",META
4,4,Unambiguous Meta-Signal Processing: A Path to Code-Based High-Accuracy PNT - Inside GNSS,Unambiguous Meta-Signal Processing: A Path to Code-Based High-Accuracy PNT  Inside GNSS,"Wed, 24 Mar 2021 07:00:00 GMT",https://news.google.com/rss/articles/CBMiYWh0dHBzOi8vaW5zaWRlZ25zcy5jb20vdW5hbWJpZ3VvdXMtbWV0YS1zaWduYWwtcHJvY2Vzc2luZy1hLXBhdGgtdG8tY29kZS1iYXNlZC1oaWdoLWFjY3VyYWN5LXBudC_SAQA?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://insidegnss.com', 'title': 'Inside GNSS'}",META
5,5,Meta-analysis of tumor- and T cell-intrinsic mechanisms of sensitization to checkpoint inhibition - ScienceDirect.com,Meta-analysis of tumor- and T cell-intrinsic mechanisms of sensitization to checkpoint inhibition  ScienceDirect.com,"Thu, 04 Feb 2021 08:00:00 GMT",https://news.google.com/rss/articles/CBMiQ2h0dHBzOi8vd3d3LnNjaWVuY2VkaXJlY3QuY29tL3NjaWVuY2UvYXJ0aWNsZS9waWkvUzAwOTI4Njc0MjEwMDAwMjfSAQA?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://www.sciencedirect.com', 'title': 'ScienceDirect.com'}",META
6,6,How We’re Supporting People Affected by Eating Disorders and Negative Body Image - Meta,How We’re Supporting People Affected by Eating Disorders and Negative Body Image  Meta,"Mon, 22 Feb 2021 08:00:00 GMT",https://news.google.com/rss/articles/CBMiaWh0dHBzOi8vYWJvdXQuZmIuY29tL25ld3MvMjAyMS8wMi9zdXBwb3J0aW5nLXBlb3BsZS1hZmZlY3RlZC1ieS1lYXRpbmctZGlzb3JkZXJzLWFuZC1uZWdhdGl2ZS1ib2R5LWltYWdlL9IBbWh0dHBzOi8vYWJvdXQuZmIuY29tL25ld3MvMjAyMS8wMi9zdXBwb3J0aW5nLXBlb3BsZS1hZmZlY3RlZC1ieS1lYXRpbmctZGlzb3JkZXJzLWFuZC1uZWdhdGl2ZS1ib2R5LWltYWdlL2FtcC8?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://about.fb.com', 'title': 'Meta'}",META
7,7,Trans-ancestry genome-wide association meta-analysis of prostate cancer identifies new susceptibility loci and informs ... - Nature.com,Trans-ancestry genome-wide association meta-analysis of prostate cancer identifies new susceptibility loci and informs ...  Nature.com,"Mon, 04 Jan 2021 08:00:00 GMT",https://news.google.com/rss/articles/CBMiMmh0dHBzOi8vd3d3Lm5hdHVyZS5jb20vYXJ0aWNsZXMvczQxNTg4LTAyMC0wMDc0OC0w0gEA?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://www.nature.com', 'title': 'Nature.com'}",META
8,8,Reducing Political Content in News Feed - Meta,Reducing Political Content in News Feed  Meta,"Wed, 10 Feb 2021 08:00:00 GMT",https://news.google.com/rss/articles/CBMiSmh0dHBzOi8vYWJvdXQuZmIuY29tL25ld3MvMjAyMS8wMi9yZWR1Y2luZy1wb2xpdGljYWwtY29udGVudC1pbi1uZXdzLWZlZWQv0gEA?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://about.fb.com', 'title': 'Meta'}",META
9,9,"Genome-wide meta-analysis, fine-mapping and integrative prioritization implicate new Alzheimer’s disease risk genes - Nature.com","Genome-wide meta-analysis, fine-mapping and integrative prioritization implicate new Alzheimer’s disease risk genes  Nature.com","Mon, 15 Feb 2021 08:00:00 GMT",https://news.google.com/rss/articles/CBMiMmh0dHBzOi8vd3d3Lm5hdHVyZS5jb20vYXJ0aWNsZXMvczQxNTg4LTAyMC0wMDc3Ni130gEA?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://www.nature.com', 'title': 'Nature.com'}",META
