Unnamed: 0,Unnamed: 0.1,title,description,published date,url,publisher,company
0,0,Amazon.com (AMZN) Q4 2022 Earnings Call Transcript - The Motley Fool,Amazon.com (AMZN) Q4 2022 Earnings Call Transcript  The Motley Fool,"Thu, 02 Feb 2023 08:00:00 GMT",https://news.google.com/rss/articles/CBMiamh0dHBzOi8vd3d3LmZvb2wuY29tL2Vhcm5pbmdzL2NhbGwtdHJhbnNjcmlwdHMvMjAyMy8wMi8wMi9hbWF6b25jb20tYW16bi1xNC0yMDIyLWVhcm5pbmdzLWNhbGwtdHJhbnNjcmlwdC_SAQA?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://www.fool.com', 'title': 'The Motley Fool'}",AMZN
1,1,How To Buy Amazon Stock (AMZN) – Forbes Advisor - Forbes,How To Buy Amazon Stock (AMZN) – Forbes Advisor  Forbes,"Wed, 08 Feb 2023 08:00:00 GMT",https://news.google.com/rss/articles/CBMiQWh0dHBzOi8vd3d3LmZvcmJlcy5jb20vYWR2aXNvci9pbnZlc3RpbmcvaG93LXRvLWJ1eS1hbWF6b24tc3RvY2sv0gEA?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://www.forbes.com', 'title': 'Forbes'}",AMZN
2,2,Amazon beats on fourth-quarter revenue but provides light guidance - CNBC,Amazon beats on fourth-quarter revenue but provides light guidance  CNBC,"Thu, 02 Feb 2023 08:00:00 GMT",https://news.google.com/rss/articles/CBMiQWh0dHBzOi8vd3d3LmNuYmMuY29tLzIwMjMvMDIvMDIvYW1hem9uLWFtem4tZWFybmluZ3MtcTQtMjAyMi5odG1s0gFFaHR0cHM6Ly93d3cuY25iYy5jb20vYW1wLzIwMjMvMDIvMDIvYW1hem9uLWFtem4tZWFybmluZ3MtcTQtMjAyMi5odG1s?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://www.cnbc.com', 'title': 'CNBC'}",AMZN
3,3,AWS and NVIDIA Collaborate on Next-Generation Infrastructure for Training Large Machine Learning Models and ... - NVIDIA Blog,AWS and NVIDIA Collaborate on Next-Generation Infrastructure for Training Large Machine Learning Models and ...  NVIDIA Blog,"Tue, 21 Mar 2023 07:00:00 GMT",https://news.google.com/rss/articles/CBMisgFodHRwczovL252aWRpYW5ld3MubnZpZGlhLmNvbS9uZXdzL2F3cy1hbmQtbnZpZGlhLWNvbGxhYm9yYXRlLW9uLW5leHQtZ2VuZXJhdGlvbi1pbmZyYXN0cnVjdHVyZS1mb3ItdHJhaW5pbmctbGFyZ2UtbWFjaGluZS1sZWFybmluZy1tb2RlbHMtYW5kLWJ1aWxkaW5nLWdlbmVyYXRpdmUtYWktYXBwbGljYXRpb25z0gEA?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://nvidianews.nvidia.com', 'title': 'NVIDIA Blog'}",AMZN
4,4,5 Things to Know about Amazon's Recent One Medical Acquisition | AHA - American Hospital Association,5 Things to Know about Amazon's Recent One Medical Acquisition | AHA  American Hospital Association,"Tue, 07 Mar 2023 08:00:00 GMT",https://news.google.com/rss/articles/CBMiggFodHRwczovL3d3dy5haGEub3JnL2FoYS1jZW50ZXItaGVhbHRoLWlubm92YXRpb24tbWFya2V0LXNjYW4vMjAyMy0wMy0wNy01LXRoaW5ncy1rbm93LWFib3V0LWFtYXpvbnMtcmVjZW50LW9uZS1tZWRpY2FsLWFjcXVpc2l0aW9u0gEA?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://www.aha.org', 'title': 'American Hospital Association'}",AMZN
5,5,"Amazon’s stock dips 1% as another 9,000 layoffs announced - MarketWatch","Amazon’s stock dips 1% as another 9,000 layoffs announced  MarketWatch","Tue, 21 Mar 2023 07:00:00 GMT",https://news.google.com/rss/articles/CBMiaWh0dHBzOi8vd3d3Lm1hcmtldHdhdGNoLmNvbS9zdG9yeS9hbWF6b25zLXN0b2NrLWRvd24tbmVhcmx5LTItYXMtYW5vdGhlci05LTAwMC1sYXlvZmZzLWFubm91bmNlZC03MzI2OTBmMdIBbWh0dHBzOi8vd3d3Lm1hcmtldHdhdGNoLmNvbS9hbXAvc3RvcnkvYW1hem9ucy1zdG9jay1kb3duLW5lYXJseS0yLWFzLWFub3RoZXItOS0wMDAtbGF5b2Zmcy1hbm5vdW5jZWQtNzMyNjkwZjE?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://www.marketwatch.com', 'title': 'MarketWatch'}",AMZN
6,6,"Amazon Linux 2023, a Cloud-Optimized Linux Distribution with Long-Term Support | Amazon Web Services - AWS Blog","Amazon Linux 2023, a Cloud-Optimized Linux Distribution with Long-Term Support | Amazon Web Services  AWS Blog","Wed, 15 Mar 2023 07:00:00 GMT",https://news.google.com/rss/articles/CBMib2h0dHBzOi8vYXdzLmFtYXpvbi5jb20vYmxvZ3MvYXdzL2FtYXpvbi1saW51eC0yMDIzLWEtY2xvdWQtb3B0aW1pemVkLWxpbnV4LWRpc3RyaWJ1dGlvbi13aXRoLWxvbmctdGVybS1zdXBwb3J0L9IBAA?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://aws.amazon.com', 'title': 'AWS Blog'}",AMZN
7,7,I wish Amazon had been honest about why it's sunsetting AmazonSmile - The Verge,I wish Amazon had been honest about why it's sunsetting AmazonSmile  The Verge,"Thu, 19 Jan 2023 08:00:00 GMT",https://news.google.com/rss/articles/CBMiTGh0dHBzOi8vd3d3LnRoZXZlcmdlLmNvbS8yMDIzLzEvMTkvMjM1NjIxNjYvYW1hem9uLWFtYXpvbnNtaWxlLWVtYWlsLWNoYXJpdHnSAQA?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://www.theverge.com', 'title': 'The Verge'}",AMZN
8,8,Amazon and Howard University Announce Academic Collaboration - The Dig,Amazon and Howard University Announce Academic Collaboration  The Dig,"Thu, 09 Feb 2023 08:00:00 GMT",https://news.google.com/rss/articles/CBMiYmh0dHBzOi8vdGhlZGlnLmhvd2FyZC5lZHUvYWxsLXN0b3JpZXMvYW1hem9uLWFuZC1ob3dhcmQtdW5pdmVyc2l0eS1hbm5vdW5jZS1hY2FkZW1pYy1jb2xsYWJvcmF0aW9u0gEA?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://thedig.howard.edu', 'title': 'The Dig'}",AMZN
9,9,Here's your first look at Project Kuiper's low-cost customer terminals - About Amazon,Here's your first look at Project Kuiper's low-cost customer terminals  About Amazon,"Tue, 14 Mar 2023 07:00:00 GMT",https://news.google.com/rss/articles/CBMiemh0dHBzOi8vd3d3LmFib3V0YW1hem9uLmNvbS9uZXdzL2lubm92YXRpb24tYXQtYW1hem9uL2hlcmVzLXlvdXItZmlyc3QtbG9vay1hdC1wcm9qZWN0LWt1aXBlcnMtbG93LWNvc3QtY3VzdG9tZXItdGVybWluYWxz0gEA?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://www.aboutamazon.com', 'title': 'About Amazon'}",AMZN
