Unnamed: 0,Unnamed: 0.1,title,description,published date,url,publisher,company
0,0,MSFT Earnings: Microsoft Q3 2023 profit rises on higher revenues - AlphaStreet,MSFT Earnings: Microsoft Q3 2023 profit rises on higher revenues  AlphaStreet,"Tue, 25 Apr 2023 07:00:00 GMT",https://news.google.com/rss/articles/CBMiXWh0dHBzOi8vbmV3cy5hbHBoYXN0cmVldC5jb20vbXNmdC1lYXJuaW5ncy1taWNyb3NvZnQtcTMtMjAyMy1wcm9maXQtcmlzZXMtb24taGlnaGVyLXJldmVudWVzL9IBAA?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://news.alphastreet.com', 'title': 'AlphaStreet'}",MSFT
1,1,Microsoft (MSFT) Stock Sinks As Market Gains: What You Should Know - Yahoo Finance,Microsoft (MSFT) Stock Sinks As Market Gains: What You Should Know  Yahoo Finance,"Tue, 06 Jun 2023 07:00:00 GMT",https://news.google.com/rss/articles/CBMiT2h0dHBzOi8vZmluYW5jZS55YWhvby5jb20vbmV3cy9taWNyb3NvZnQtbXNmdC1zdG9jay1zaW5rcy1tYXJrZXQtMjE0NTE5NjE0Lmh0bWzSAQA?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://finance.yahoo.com', 'title': 'Yahoo Finance'}",MSFT
2,2,The AI Race: Have Microsoft (MSFT) and Nvidia (NVDA) Already Won? - Nasdaq,The AI Race: Have Microsoft (MSFT) and Nvidia (NVDA) Already Won?  Nasdaq,"Wed, 21 Jun 2023 07:00:00 GMT",https://news.google.com/rss/articles/CBMiUWh0dHBzOi8vd3d3Lm5hc2RhcS5jb20vYXJ0aWNsZXMvdGhlLWFpLXJhY2UtaGF2ZS1taWNyb3NvZnQtYW5kLW52aWRpYS1hbHJlYWR5LXdvbtIBAA?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://www.nasdaq.com', 'title': 'Nasdaq'}",MSFT
3,3,MSFT: Three Big Reasons Why Microsoft May Be Poised For A Pounding - StockNews.com,MSFT: Three Big Reasons Why Microsoft May Be Poised For A Pounding  StockNews.com,"Sun, 16 Apr 2023 07:00:00 GMT",https://news.google.com/rss/articles/CBMiVGh0dHBzOi8vc3RvY2tuZXdzLmNvbS9uZXdzL21zZnQtdGhyZWUtYmlnLXJlYXNvbnMtd2h5LW1pY3Jvc29mdC1tYXktYmUtcG9pc2VkLWZvci1hL9IBAA?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://stocknews.com', 'title': 'StockNews.com'}",MSFT
4,4,Buy Microsoft (MSFT) Stock for These 2 Key Catalysts - InvestorPlace,Buy Microsoft (MSFT) Stock for These 2 Key Catalysts  InvestorPlace,"Mon, 15 May 2023 07:00:00 GMT",https://news.google.com/rss/articles/CBMiVWh0dHBzOi8vaW52ZXN0b3JwbGFjZS5jb20vMjAyMy8wNS9idXktbWljcm9zb2Z0LW1zZnQtc3RvY2stZm9yLXRoZXNlLTIta2V5LWNhdGFseXN0cy_SAQA?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://investorplace.com', 'title': 'InvestorPlace'}",MSFT
5,5,Nasdaq 100 Outlook: Where next for MSFT stock ahead of Q3 earnings? - FOREX.com,Nasdaq 100 Outlook: Where next for MSFT stock ahead of Q3 earnings?  FOREX.com,"Fri, 21 Apr 2023 07:00:00 GMT",https://news.google.com/rss/articles/CBMiZGh0dHBzOi8vd3d3LmZvcmV4LmNvbS9lbi9uZXdzLWFuZC1hbmFseXNpcy9ob3ctd2lsbC1taWNyb3NvZnQtc3RvY2staW1wYWN0LW5keC1haGVhZC1vZi1xMy1lYXJuaW5ncy_SAQA?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://www.forex.com', 'title': 'FOREX.com'}",MSFT
6,6,"Microsoft reports earnings beat, says A.I. will drive revenue growth - CNBC","Microsoft reports earnings beat, says A.I. will drive revenue growth  CNBC","Tue, 25 Apr 2023 07:00:00 GMT",https://news.google.com/rss/articles/CBMiS2h0dHBzOi8vd3d3LmNuYmMuY29tLzIwMjMvMDQvMjUvbWljcm9zb2Z0LW1zZnQtcTMtZWFybmluZ3MtcmVwb3J0LTIwMjMuaHRtbNIBT2h0dHBzOi8vd3d3LmNuYmMuY29tL2FtcC8yMDIzLzA0LzI1L21pY3Jvc29mdC1tc2Z0LXEzLWVhcm5pbmdzLXJlcG9ydC0yMDIzLmh0bWw?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://www.cnbc.com', 'title': 'CNBC'}",MSFT
7,7,What's Going On With Microsoft Stock Tuesday - Yahoo Finance,What's Going On With Microsoft Stock Tuesday  Yahoo Finance,"Tue, 30 May 2023 07:00:00 GMT",https://news.google.com/rss/articles/CBMiUWh0dHBzOi8vZmluYW5jZS55YWhvby5jb20vbmV3cy93aGF0cy1nb2luZy1taWNyb3NvZnQtc3RvY2stdHVlc2RheS0xODU3MDI4NDQuaHRtbNIBAA?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://finance.yahoo.com', 'title': 'Yahoo Finance'}",MSFT
8,8,"MSFT, NVDA, or GOOGL: Which AI Stock is Best? - Nasdaq","MSFT, NVDA, or GOOGL: Which AI Stock is Best?  Nasdaq","Tue, 18 Apr 2023 07:00:00 GMT",https://news.google.com/rss/articles/CBMiSmh0dHBzOi8vd3d3Lm5hc2RhcS5jb20vYXJ0aWNsZXMvbXNmdC1udmRhLW9yLWdvb2dsOi13aGljaC1haS1zdG9jay1pcy1iZXN00gEA?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://www.nasdaq.com', 'title': 'Nasdaq'}",MSFT
9,9,MSFT: Should You Invest in Microsoft (MSFT) This Week? - StockNews.com,MSFT: Should You Invest in Microsoft (MSFT) This Week?  StockNews.com,"Thu, 22 Jun 2023 13:40:32 GMT",https://news.google.com/rss/articles/CBMiXGh0dHBzOi8vc3RvY2tuZXdzLmNvbS9uZXdzL21zZnQtdm13LWZmaXYtc3Bucy1zaG91bGQteW91LWludmVzdC1pbi1taWNyb3NvZnQtbXNmdC10aGlzLXdlZWsv0gEA?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://stocknews.com', 'title': 'StockNews.com'}",MSFT
