,title,description,published date,url,publisher
0,Apple - AAPL - Stock Price & News - The Motley Fool,Apple - AAPL - Stock Price & News  The Motley Fool,"Mon, 13 Sep 2021 21:51:57 GMT",https://news.google.com/rss/articles/CBMiJ2h0dHBzOi8vd3d3LmZvb2wuY29tL3F1b3RlL25hc2RhcS9hYXBsL9IBAA?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://www.fool.com', 'title': 'The Motley Fool'}"
1,How Much Would $10000 Invested in Apple Stock 20 Years Ago Be Worth Today? - U.S News & World Report Money,How Much Would $10000 Invested in Apple Stock 20 Years Ago Be Worth Today?  U.S News & World Report Money,"Fri, 22 Sep 2023 07:00:00 GMT",https://news.google.com/rss/articles/CBMiU2h0dHBzOi8vbW9uZXkudXNuZXdzLmNvbS9pbnZlc3RpbmcvYXJ0aWNsZXMvYXBwbGUtYWFwbC1zdG9jay1pbnZlc3RtZW50LXdvcnRoLXRvZGF50gEA?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://money.usnews.com', 'title': 'U.S News & World Report Money'}"
2,"Apple Stock Higher on Record Services Revenue, $90 Billion Buyback - Investopedia","Apple Stock Higher on Record Services Revenue, $90 Billion Buyback  Investopedia","Thu, 04 May 2023 07:00:00 GMT",https://news.google.com/rss/articles/CBMiWGh0dHBzOi8vd3d3LmludmVzdG9wZWRpYS5jb20vYXBwbGUtcmVjb3JkLXNlcnZpY2VzLXJldmVudWUtdXNkOTAtYmlsbGlvbi1idXliYWNrLTc0ODkxNTPSAQA?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://www.investopedia.com', 'title': 'Investopedia'}"
3,Apple beats but comes up light on iPhone sales and services - CNBC,Apple beats but comes up light on iPhone sales and services  CNBC,"Thu, 27 Oct 2022 07:00:00 GMT",https://news.google.com/rss/articles/CBMiQGh0dHBzOi8vd3d3LmNuYmMuY29tLzIwMjIvMTAvMjcvYXBwbGUtYWFwbC1lYXJuaW5ncy1xNC0yMDIyLmh0bWzSAURodHRwczovL3d3dy5jbmJjLmNvbS9hbXAvMjAyMi8xMC8yNy9hcHBsZS1hYXBsLWVhcm5pbmdzLXE0LTIwMjIuaHRtbA?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://www.cnbc.com', 'title': 'CNBC'}"
4,What to Expect from Apple (AAPL) Stock In September as iPhone Launch Approaches - Nasdaq,What to Expect from Apple (AAPL) Stock In September as iPhone Launch Approaches  Nasdaq,"Mon, 28 Aug 2023 07:00:00 GMT",https://news.google.com/rss/articles/CBMibWh0dHBzOi8vd3d3Lm5hc2RhcS5jb20vYXJ0aWNsZXMvd2hhdC10by1leHBlY3QtZnJvbS1hcHBsZS1hYXBsLXN0b2NrLWluLXNlcHRlbWJlci1hcy1pcGhvbmUtbGF1bmNoLWFwcHJvYWNoZXPSAQA?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://www.nasdaq.com', 'title': 'Nasdaq'}"
5,Apple (AAPL) Rises Higher Than Market: Key Facts - Yahoo Finance,Apple (AAPL) Rises Higher Than Market: Key Facts  Yahoo Finance,"Fri, 08 Dec 2023 08:00:00 GMT",https://news.google.com/rss/articles/CBMiTGh0dHBzOi8vZmluYW5jZS55YWhvby5jb20vbmV3cy9hcHBsZS1hYXBsLXJpc2VzLWhpZ2hlci1tYXJrZXQtMjI0NTEzNDUxLmh0bWzSAQA?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://finance.yahoo.com', 'title': 'Yahoo Finance'}"
6,Did Apple Stock (AAPL) Deserve This Downgrade? - TheStreet,Did Apple Stock (AAPL) Deserve This Downgrade?  TheStreet,"Thu, 07 Sep 2023 07:00:00 GMT",https://news.google.com/rss/articles/CBMiUWh0dHBzOi8vd3d3LnRoZXN0cmVldC5jb20vYXBwbGUvbmV3cy9kaWQtYXBwbGUtc3RvY2stYWFwbC1kZXNlcnZlLXRoaXMtZG93bmdyYWRlLdIBAA?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://www.thestreet.com', 'title': 'TheStreet'}"
7,Dr. Aimee Kaempf Appointed to Board of AAPL Journal - University of Arizona,Dr. Aimee Kaempf Appointed to Board of AAPL Journal  University of Arizona,"Mon, 06 Mar 2023 08:00:00 GMT",https://news.google.com/rss/articles/CBMiXmh0dHBzOi8vaGVhbHRoc2NpZW5jZXMuYXJpem9uYS5lZHUvY29ubmVjdC9ob25vcnMvZHItYWltZWUta2FlbXBmLWFwcG9pbnRlZC1ib2FyZC1hYXBsLWpvdXJuYWzSAQA?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://healthsciences.arizona.edu', 'title': 'University of Arizona'}"
8,Why Apple Stock Jumped $39 Billion Ahead Of Memorial Day - TheStreet,Why Apple Stock Jumped $39 Billion Ahead Of Memorial Day  TheStreet,"Tue, 30 May 2023 07:00:00 GMT",https://news.google.com/rss/articles/CBMiXWh0dHBzOi8vd3d3LnRoZXN0cmVldC5jb20vYXBwbGUvc3RvY2svd2h5LWFwcGxlLXN0b2NrLWp1bXBlZC0zOS1iaWxsaW9uLWFoZWFkLW9mLW1lbW9yaWFsLWRhedIBAA?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://www.thestreet.com', 'title': 'TheStreet'}"
9,Apple Inc. (NASDAQ:AAPL) Q4 2023 Earnings Call Transcript - Yahoo Finance,Apple Inc. (NASDAQ:AAPL) Q4 2023 Earnings Call Transcript  Yahoo Finance,"Sat, 04 Nov 2023 07:00:00 GMT",https://news.google.com/rss/articles/CBMiRmh0dHBzOi8vZmluYW5jZS55YWhvby5jb20vbmV3cy9hcHBsZS1pbmMtbmFzZGFxLWFhcGwtcTQtMTcwMDExMjg0Lmh0bWzSAQA?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://finance.yahoo.com', 'title': 'Yahoo Finance'}"
