,title,description,published date,url,publisher
0,Amazon surges with record $190 billion gain in value - Reuters,Amazon surges with record $190 billion gain in value  Reuters,"Fri, 04 Feb 2022 08:00:00 GMT",https://news.google.com/rss/articles/CBMiXWh0dHBzOi8vd3d3LnJldXRlcnMuY29tL2J1c2luZXNzL2FtYXpvbi1zdXJnZXMtZXllcy13YWxsLXN0cmVldC1yZWNvcmQtZ2Fpbi12YWx1ZS0yMDIyLTAyLTA0L9IBAA?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://www.reuters.com', 'title': 'Reuters'}"
1,Amazon (AMZN) Stock Moves -1.09%: What You Should Know - Yahoo Finance,Amazon (AMZN) Stock Moves -1.09%: What You Should Know  Yahoo Finance,"Wed, 20 Dec 2023 08:00:00 GMT",https://news.google.com/rss/articles/CBMiR2h0dHBzOi8vZmluYW5jZS55YWhvby5jb20vbmV3cy9hbWF6b24tYW16bi1zdG9jay1tb3Zlcy0xLTIyNDUxOTUxMi5odG1s0gEA?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://finance.yahoo.com', 'title': 'Yahoo Finance'}"
2,Amazon's Big Split - Investopedia,Amazon's Big Split  Investopedia,"Mon, 06 Jun 2022 07:00:00 GMT",https://news.google.com/rss/articles/CBMiN2h0dHBzOi8vd3d3LmludmVzdG9wZWRpYS5jb20vYW1hem9uLXMtYmlnLXNwbGl0LTUzMjQ1NzLSAQA?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://www.investopedia.com', 'title': 'Investopedia'}"
3,Amazon stock price today: Why is AMZN going up despite layoffs? - Fast Company,Amazon stock price today: Why is AMZN going up despite layoffs?  Fast Company,"Fri, 04 Aug 2023 07:00:00 GMT",https://news.google.com/rss/articles/CBMiUGh0dHBzOi8vd3d3LmZhc3Rjb21wYW55LmNvbS85MDkzMzM5MC9hbWF6b24tc3RvY2stcHJpY2UtdG9kYXktYW16bi1sYXlvZmZzLW5ld3Mv0gEA?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://www.fastcompany.com', 'title': 'Fast Company'}"
4,Amazon Earnings: AMZN Biggest One-Day Gain in Stock Market - Bloomberg,Amazon Earnings: AMZN Biggest One-Day Gain in Stock Market  Bloomberg,"Thu, 03 Feb 2022 08:00:00 GMT",https://news.google.com/rss/articles/CBMicWh0dHBzOi8vd3d3LmJsb29tYmVyZy5jb20vbmV3cy9hcnRpY2xlcy8yMDIyLTAyLTAzL2FtYXpvbi1wb2lzZWQtZm9yLWJpZ2dlc3QtZXZlci1tYXJrZXQtdmFsdWUtZ2Fpbi1pbi13aWxkLXN3aW5n0gEA?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://www.bloomberg.com', 'title': 'Bloomberg'}"
5,Amazon jumps on revenue beat and rosy guidance for third quarter - CNBC,Amazon jumps on revenue beat and rosy guidance for third quarter  CNBC,"Thu, 28 Jul 2022 07:00:00 GMT",https://news.google.com/rss/articles/CBMiQWh0dHBzOi8vd3d3LmNuYmMuY29tLzIwMjIvMDcvMjgvYW1hem9uLWFtem4tcTItMjAyMi1lYXJuaW5ncy5odG1s0gFFaHR0cHM6Ly93d3cuY25iYy5jb20vYW1wLzIwMjIvMDcvMjgvYW1hem9uLWFtem4tcTItMjAyMi1lYXJuaW5ncy5odG1s?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://www.cnbc.com', 'title': 'CNBC'}"
6,How To Buy Amazon Stock (AMZN) – Forbes Advisor - Forbes,How To Buy Amazon Stock (AMZN) – Forbes Advisor  Forbes,"Wed, 08 Feb 2023 08:00:00 GMT",https://news.google.com/rss/articles/CBMiQWh0dHBzOi8vd3d3LmZvcmJlcy5jb20vYWR2aXNvci9pbnZlc3RpbmcvaG93LXRvLWJ1eS1hbWF6b24tc3RvY2sv0gEA?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://www.forbes.com', 'title': 'Forbes'}"
7,Amazon Stock: How AMZN Became An Advertising Juggernaut - Investor's Business Daily,Amazon Stock: How AMZN Became An Advertising Juggernaut  Investor's Business Daily,"Thu, 05 Oct 2023 07:00:00 GMT",https://news.google.com/rss/articles/CBMiYWh0dHBzOi8vd3d3LmludmVzdG9ycy5jb20vbmV3cy90ZWNobm9sb2d5L2FtYXpvbi1zdG9jay1ob3ctYW16bi1iZWNhbWUtYW4tYWR2ZXJ0aXNpbmctanVnZ2VybmF1dC_SAQA?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://www.investors.com', 'title': ""Investor's Business Daily""}"
8,"Amazon Stock (NASDAQ:AMZN): Every Analyst Covering It Says ""Buy."" Should You? - Nasdaq","Amazon Stock (NASDAQ:AMZN): Every Analyst Covering It Says ""Buy."" Should You?  Nasdaq","Mon, 13 Nov 2023 08:00:00 GMT",https://news.google.com/rss/articles/CBMiaGh0dHBzOi8vd3d3Lm5hc2RhcS5jb20vYXJ0aWNsZXMvYW1hem9uLXN0b2NrLW5hc2RhcTphbXpuOi1ldmVyeS1hbmFseXN0LWNvdmVyaW5nLWl0LXNheXMtYnV5Li1zaG91bGQteW910gEA?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://www.nasdaq.com', 'title': 'Nasdaq'}"
9,Can Amazon Stock (NASDAQ:AMZN) Reach Record Highs in 2024? - Yahoo Finance,Can Amazon Stock (NASDAQ:AMZN) Reach Record Highs in 2024?  Yahoo Finance,"Thu, 23 Nov 2023 08:00:00 GMT",https://news.google.com/rss/articles/CBMiTGh0dHBzOi8vZmluYW5jZS55YWhvby5jb20vbmV3cy9hbWF6b24tc3RvY2stbmFzZGFxLWFtem4tcmVhY2gtMjIxMzMyNTUwLmh0bWzSAQA?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://finance.yahoo.com', 'title': 'Yahoo Finance'}"
