,title,description,published date,url,publisher
0,Facebook and Instagram to Offer Subscription for No Ads in Europe - Meta,Facebook and Instagram to Offer Subscription for No Ads in Europe  Meta,"Mon, 30 Oct 2023 07:00:00 GMT",https://news.google.com/rss/articles/CBMiZGh0dHBzOi8vYWJvdXQuZmIuY29tL25ld3MvMjAyMy8xMC9mYWNlYm9vay1hbmQtaW5zdGFncmFtLXRvLW9mZmVyLXN1YnNjcmlwdGlvbi1mb3Itbm8tYWRzLWluLWV1cm9wZS_SAWhodHRwczovL2Fib3V0LmZiLmNvbS9uZXdzLzIwMjMvMTAvZmFjZWJvb2stYW5kLWluc3RhZ3JhbS10by1vZmZlci1zdWJzY3JpcHRpb24tZm9yLW5vLWFkcy1pbi1ldXJvcGUvYW1wLw?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://about.fb.com', 'title': 'Meta'}"
1,Facebook Changes Corporate Name to Meta - The New York Times,Facebook Changes Corporate Name to Meta  The New York Times,"Wed, 10 Nov 2021 08:00:00 GMT",https://news.google.com/rss/articles/CBMiTGh0dHBzOi8vd3d3Lm55dGltZXMuY29tLzIwMjEvMTAvMjgvdGVjaG5vbG9neS9mYWNlYm9vay1tZXRhLW5hbWUtY2hhbmdlLmh0bWzSAQA?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://www.nytimes.com', 'title': 'The New York Times'}"
2,Introducing Meta: A Social Technology Company - Meta,Introducing Meta: A Social Technology Company  Meta,"Thu, 28 Oct 2021 07:00:00 GMT",https://news.google.com/rss/articles/CBMiP2h0dHBzOi8vYWJvdXQuZmIuY29tL25ld3MvMjAyMS8xMC9mYWNlYm9vay1jb21wYW55LWlzLW5vdy1tZXRhL9IBQ2h0dHBzOi8vYWJvdXQuZmIuY29tL25ld3MvMjAyMS8xMC9mYWNlYm9vay1jb21wYW55LWlzLW5vdy1tZXRhL2FtcC8?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://about.fb.com', 'title': 'Meta'}"
3,How Meta Uses Legal Bases for Processing Ads in the EU - Meta,How Meta Uses Legal Bases for Processing Ads in the EU  Meta,"Wed, 04 Jan 2023 08:00:00 GMT",https://news.google.com/rss/articles/CBMiWWh0dHBzOi8vYWJvdXQuZmIuY29tL25ld3MvMjAyMy8wMS9ob3ctbWV0YS11c2VzLWxlZ2FsLWJhc2VzLWZvci1wcm9jZXNzaW5nLWFkcy1pbi10aGUtZXUv0gFdaHR0cHM6Ly9hYm91dC5mYi5jb20vbmV3cy8yMDIzLzAxL2hvdy1tZXRhLXVzZXMtbGVnYWwtYmFzZXMtZm9yLXByb2Nlc3NpbmctYWRzLWluLXRoZS1ldS9hbXAv?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://about.fb.com', 'title': 'Meta'}"
4,Testing Meta Verified to Help Creators Establish Their Presence - Meta,Testing Meta Verified to Help Creators Establish Their Presence  Meta,"Sun, 19 Feb 2023 08:00:00 GMT",https://news.google.com/rss/articles/CBMiSWh0dHBzOi8vYWJvdXQuZmIuY29tL25ld3MvMjAyMy8wMi90ZXN0aW5nLW1ldGEtdmVyaWZpZWQtdG8taGVscC1jcmVhdG9ycy_SAU1odHRwczovL2Fib3V0LmZiLmNvbS9uZXdzLzIwMjMvMDIvdGVzdGluZy1tZXRhLXZlcmlmaWVkLXRvLWhlbHAtY3JlYXRvcnMvYW1wLw?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://about.fb.com', 'title': 'Meta'}"
5,Introducing Meta Store: A Hands-On Experience With Our Hardware - Meta,Introducing Meta Store: A Hands-On Experience With Our Hardware  Meta,"Mon, 25 Apr 2022 07:00:00 GMT",https://news.google.com/rss/articles/CBMiNGh0dHBzOi8vYWJvdXQuZmIuY29tL25ld3MvMjAyMi8wNC9tZXRhLXJldGFpbC1zdG9yZS_SAThodHRwczovL2Fib3V0LmZiLmNvbS9uZXdzLzIwMjIvMDQvbWV0YS1yZXRhaWwtc3RvcmUvYW1wLw?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://about.fb.com', 'title': 'Meta'}"
6,Introducing Threads: A New Way to Share With Text - Meta,Introducing Threads: A New Way to Share With Text  Meta,"Wed, 05 Jul 2023 07:00:00 GMT",https://news.google.com/rss/articles/CBMiS2h0dHBzOi8vYWJvdXQuZmIuY29tL25ld3MvMjAyMy8wNy9pbnRyb2R1Y2luZy10aHJlYWRzLW5ldy1hcHAtdGV4dC1zaGFyaW5nL9IBT2h0dHBzOi8vYWJvdXQuZmIuY29tL25ld3MvMjAyMy8wNy9pbnRyb2R1Y2luZy10aHJlYWRzLW5ldy1hcHAtdGV4dC1zaGFyaW5nL2FtcC8?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://about.fb.com', 'title': 'Meta'}"
7,Introducing New AI Experiences Across Our Family of Apps and Devices - Meta,Introducing New AI Experiences Across Our Family of Apps and Devices  Meta,"Wed, 27 Sep 2023 07:00:00 GMT",https://news.google.com/rss/articles/CBMiYmh0dHBzOi8vYWJvdXQuZmIuY29tL25ld3MvMjAyMy8wOS9pbnRyb2R1Y2luZy1haS1wb3dlcmVkLWFzc2lzdGFudHMtY2hhcmFjdGVycy1hbmQtY3JlYXRpdmUtdG9vbHMv0gFmaHR0cHM6Ly9hYm91dC5mYi5jb20vbmV3cy8yMDIzLzA5L2ludHJvZHVjaW5nLWFpLXBvd2VyZWQtYXNzaXN0YW50cy1jaGFyYWN0ZXJzLWFuZC1jcmVhdGl2ZS10b29scy9hbXAv?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://about.fb.com', 'title': 'Meta'}"
8,What’s New Across Our AI Experiences - Meta,What’s New Across Our AI Experiences  Meta,"Wed, 06 Dec 2023 08:00:00 GMT",https://news.google.com/rss/articles/CBMiMmh0dHBzOi8vYWJvdXQuZmIuY29tL25ld3MvMjAyMy8xMi9tZXRhLWFpLXVwZGF0ZXMv0gE2aHR0cHM6Ly9hYm91dC5mYi5jb20vbmV3cy8yMDIzLzEyL21ldGEtYWktdXBkYXRlcy9hbXAv?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://about.fb.com', 'title': 'Meta'}"
9,Introducing Meta Accounts and Meta Horizon Profiles for VR - Meta,Introducing Meta Accounts and Meta Horizon Profiles for VR  Meta,"Thu, 07 Jul 2022 07:00:00 GMT",https://news.google.com/rss/articles/CBMiTGh0dHBzOi8vYWJvdXQuZmIuY29tL25ld3MvMjAyMi8wNy9tZXRhLWFjY291bnRzLWFuZC1ob3Jpem9uLXByb2ZpbGVzLWZvci12ci_SAVBodHRwczovL2Fib3V0LmZiLmNvbS9uZXdzLzIwMjIvMDcvbWV0YS1hY2NvdW50cy1hbmQtaG9yaXpvbi1wcm9maWxlcy1mb3ItdnIvYW1wLw?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://about.fb.com', 'title': 'Meta'}"
