,title,description,published date,url,publisher
0,Tesla (TSLA) Stock: The Impact Of Twitter's New CEO - Nasdaq,Tesla (TSLA) Stock: The Impact Of Twitter's New CEO  Nasdaq,"Mon, 15 May 2023 07:00:00 GMT",https://news.google.com/rss/articles/CBMiT2h0dHBzOi8vd3d3Lm5hc2RhcS5jb20vYXJ0aWNsZXMvdGVzbGEtdHNsYS1zdG9jay10aGUtaW1wYWN0LW9mLXR3aXR0ZXJzLW5ldy1jZW_SAQA?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://www.nasdaq.com', 'title': 'Nasdaq'}"
1,ARK's Expected Value For Tesla In 2026: $4600 per Share - ARK Invest,ARK's Expected Value For Tesla In 2026: $4600 per Share  ARK Invest,"Thu, 14 Apr 2022 07:00:00 GMT",https://news.google.com/rss/articles/CBMiQWh0dHBzOi8vYXJrLWludmVzdC5jb20vYXJ0aWNsZXMvdmFsdWF0aW9uLW1vZGVscy9hcmtzLXRlc2xhLW1vZGVs0gEA?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://ark-invest.com', 'title': 'ARK Invest'}"
2,Tesla Stock (TSLA) Beaten by S&P 500 After Joining in 2020 - Bloomberg,Tesla Stock (TSLA) Beaten by S&P 500 After Joining in 2020  Bloomberg,"Wed, 20 Dec 2023 08:00:00 GMT",https://news.google.com/rss/articles/CBMicWh0dHBzOi8vd3d3LmJsb29tYmVyZy5jb20vbmV3cy9hcnRpY2xlcy8yMDIzLTEyLTIwL3Rlc2xhLWlzLWdldHRpbmctdHJvdW5jZWQtYnktcy1wLTUwMC10aHJlZS15ZWFycy1hZnRlci1qb2luaW5n0gEA?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://www.bloomberg.com', 'title': 'Bloomberg'}"
3,Tesla reports $18.76 billion in revenue and record margins in Q1 - CNBC,Tesla reports $18.76 billion in revenue and record margins in Q1  CNBC,"Wed, 20 Apr 2022 07:00:00 GMT",https://news.google.com/rss/articles/CBMiQGh0dHBzOi8vd3d3LmNuYmMuY29tLzIwMjIvMDQvMjAvdGVzbGEtdHNsYS1lYXJuaW5ncy1xMS0yMDIyLmh0bWzSAURodHRwczovL3d3dy5jbmJjLmNvbS9hbXAvMjAyMi8wNC8yMC90ZXNsYS10c2xhLWVhcm5pbmdzLXExLTIwMjIuaHRtbA?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://www.cnbc.com', 'title': 'CNBC'}"
4,Tesla (TSLA) Q2 2023 Earnings Call Transcript - The Motley Fool,Tesla (TSLA) Q2 2023 Earnings Call Transcript  The Motley Fool,"Wed, 19 Jul 2023 07:00:00 GMT",https://news.google.com/rss/articles/CBMiZmh0dHBzOi8vd3d3LmZvb2wuY29tL2Vhcm5pbmdzL2NhbGwtdHJhbnNjcmlwdHMvMjAyMy8wNy8xOS90ZXNsYS10c2xhLXEyLTIwMjMtZWFybmluZ3MtY2FsbC10cmFuc2NyaXB0L9IBAA?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://www.fool.com', 'title': 'The Motley Fool'}"
5,Tesla (TSLA) Stock Sinks As Market Gains: What You Should Know - Yahoo Finance,Tesla (TSLA) Stock Sinks As Market Gains: What You Should Know  Yahoo Finance,"Mon, 18 Dec 2023 08:00:00 GMT",https://news.google.com/rss/articles/CBMiS2h0dHBzOi8vZmluYW5jZS55YWhvby5jb20vbmV3cy90ZXNsYS10c2xhLXN0b2NrLXNpbmtzLW1hcmtldC0yMjQ1MjE0MzguaHRtbNIBAA?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://finance.yahoo.com', 'title': 'Yahoo Finance'}"
6,Tesla (TSLA) Shareholders Approve 3-For-1 Stock Split - Investopedia,Tesla (TSLA) Shareholders Approve 3-For-1 Stock Split  Investopedia,"Thu, 04 Aug 2022 07:00:00 GMT",https://news.google.com/rss/articles/CBMiWGh0dHBzOi8vd3d3LmludmVzdG9wZWRpYS5jb20vdGVzbGEtdHNsYS1zaGFyZWhvbGRlcnMtYXBwcm92ZS0zLWZvci0xLXN0b2NrLXNwbGl0LTYzNjMzMzHSAQA?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://www.investopedia.com', 'title': 'Investopedia'}"
7,Tesla (TSLA) China sales fall nearly 18% in November - StreetInsider.com,Tesla (TSLA) China sales fall nearly 18% in November  StreetInsider.com,"Mon, 04 Dec 2023 08:00:00 GMT",https://news.google.com/rss/articles/CBMiNWh0dHBzOi8vd3d3LnN0cmVldGluc2lkZXIuY29tL2RyL25ld3MucGhwP2lkPTIyNDg1Njg40gEA?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://www.streetinsider.com', 'title': 'StreetInsider.com'}"
8,Tesla (TSLA) Stock Forecast and Price Prediction - USA TODAY,Tesla (TSLA) Stock Forecast and Price Prediction  USA TODAY,"Wed, 18 Oct 2023 07:00:00 GMT",https://news.google.com/rss/articles/CBMiSGh0dHBzOi8vd3d3LnVzYXRvZGF5LmNvbS9tb25leS9ibHVlcHJpbnQvaW52ZXN0aW5nL3N0b2NrLWZvcmVjYXN0LXRlc2xhL9IBAA?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://www.usatoday.com', 'title': 'USA TODAY'}"
9,Tesla (TSLA) Stock: Reasons to Buy The Pullback - Nasdaq,Tesla (TSLA) Stock: Reasons to Buy The Pullback  Nasdaq,"Mon, 13 Nov 2023 08:00:00 GMT",https://news.google.com/rss/articles/CBMiTGh0dHBzOi8vd3d3Lm5hc2RhcS5jb20vYXJ0aWNsZXMvdGVzbGEtdHNsYS1zdG9jay1yZWFzb25zLXRvLWJ1eS10aGUtcHVsbGJhY2vSAQA?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://www.nasdaq.com', 'title': 'Nasdaq'}"
10,Tesla CEO Elon Musk sounds pessimistic note about economy on earnings call - CNBC,Tesla CEO Elon Musk sounds pessimistic note about economy on earnings call  CNBC,"Wed, 18 Oct 2023 07:00:00 GMT",https://news.google.com/rss/articles/CBMiQGh0dHBzOi8vd3d3LmNuYmMuY29tLzIwMjMvMTAvMTgvdGVzbGEtdHNsYS1lYXJuaW5ncy1xMy0yMDIzLmh0bWzSAURodHRwczovL3d3dy5jbmJjLmNvbS9hbXAvMjAyMy8xMC8xOC90ZXNsYS10c2xhLWVhcm5pbmdzLXEzLTIwMjMuaHRtbA?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://www.cnbc.com', 'title': 'CNBC'}"
